Online boarding,Inflight wifi service,Class,Type of Travel,Inflight entertainment,Flight Distance,Seat comfort,Leg room service,On-board service,Cleanliness,Ease of Online booking,Age,satisfaction
3,3,1,0,3,780.0,3,2,2,3,2,28,0
2,2,1,1,3,338.0,3,2,4,3,2,9,0
2,2,2,0,1,594.0,4,1,1,1,2,23,0
4,5,0,0,5,419.0,4,5,5,3,5,42,1
4,4,2,0,4,399.0,4,4,2,4,5,60,0
3,3,1,1,1,551.0,4,3,1,4,3,62,0
1,2,1,0,3,337.0,3,3,4,3,1,19,0
4,2,1,1,1,312.0,4,2,1,5,2,55,0
4,3,0,0,3,3085.0,4,4,3,4,3,45,1
5,5,1,0,5,2419.0,5,4,1,5,2,28,1
3,3,1,1,2,315.0,4,1,4,2,3,50,0
2,2,1,0,5,852.0,5,2,5,5,2,45,0
3,2,0,0,5,728.0,5,4,4,5,3,26,0
2,3,1,0,1,299.0,3,3,1,3,3,37,0
2,2,1,1,5,406.0,5,2,3,5,2,10,0
3,3,0,0,3,1739.0,3,2,3,2,4,36,0
2,2,1,1,5,326.0,5,5,1,5,2,65,0
4,1,0,0,1,1416.0,3,1,1,2,4,48,0
4,1,0,0,4,826.0,4,4,3,4,4,26,1
4,3,0,0,4,1501.0,4,4,5,4,3,26,1
2,2,0,0,3,2405.0,2,3,2,2,1,22,0
2,2,0,0,2,735.0,2,1,4,2,1,9,0
3,3,0,0,2,502.0,2,3,3,2,3,25,0
2,2,1,1,3,483.0,3,5,4,3,2,41,0
2,2,0,0,3,239.0,3,5,5,3,2,44,0
1,1,1,1,4,308.0,2,3,1,4,1,20,0
1,1,2,1,1,432.0,1,5,4,1,1,7,0
5,3,1,1,4,423.0,4,3,4,4,3,52,0
4,3,0,0,5,895.0,5,5,5,5,3,47,1
4,5,0,0,5,2337.0,4,5,5,5,5,44,1
3,3,0,0,5,2521.0,4,5,5,3,3,48,1
3,3,1,1,5,1188.0,1,1,2,5,3,67,0
3,1,0,0,5,2015.0,1,5,5,2,2,63,1
5,3,0,0,5,2368.0,3,5,5,1,3,51,1
5,4,1,1,3,2161.0,4,3,3,4,3,48,1
3,4,1,0,3,1167.0,3,4,3,3,3,21,0
3,5,0,0,4,1966.0,5,4,4,1,5,37,1
1,1,0,1,5,548.0,2,1,5,3,1,33,0
3,3,1,0,5,231.0,5,1,2,5,3,18,0
3,3,0,0,3,585.0,3,2,3,3,3,51,0
4,4,1,1,4,489.0,4,4,1,4,4,18,0
3,3,1,1,2,551.0,4,1,4,2,3,12,0
0,3,1,1,4,235.0,4,1,4,4,0,20,0
2,2,2,0,2,909.0,2,5,4,2,5,56,0
1,1,1,0,1,468.0,4,1,2,1,1,45,0
3,3,1,1,5,153.0,5,2,3,5,3,16,0
1,4,0,0,4,448.0,3,4,4,4,4,59,1
3,3,1,1,3,199.0,3,3,5,3,3,35,0
4,4,1,1,5,129.0,5,3,3,5,4,69,0
2,2,1,0,2,998.0,2,5,1,2,2,63,0
2,2,0,0,2,532.0,3,2,2,3,3,63,0
4,2,0,0,4,2375.0,4,4,4,4,2,43,1
4,4,1,1,2,163.0,2,1,1,2,4,14,0
1,1,1,1,3,323.0,1,2,3,3,1,31,0
3,4,2,0,4,672.0,4,3,2,4,3,30,0
4,4,1,1,5,2106.0,5,2,3,5,4,8,1
3,1,0,0,1,2142.0,4,1,1,1,2,51,0
1,1,1,1,4,373.0,4,5,4,4,1,9,0
4,4,0,0,5,814.0,5,5,5,4,4,46,1
1,1,1,0,1,366.0,1,2,1,1,5,30,0
2,1,1,1,5,308.0,5,2,4,5,2,58,0
2,2,1,1,1,531.0,1,3,3,1,2,41,0
3,3,1,1,2,396.0,2,3,4,2,3,54,0
4,4,0,0,3,1134.0,1,4,3,1,5,48,1
2,2,1,0,4,239.0,4,1,2,4,2,26,0
3,3,0,0,4,1235.0,3,1,2,4,3,28,0
3,2,1,1,3,1014.0,4,2,3,1,2,67,0
4,4,1,0,3,1353.0,3,3,4,3,5,19,0
2,2,0,0,2,1506.0,2,2,2,1,5,69,0
2,2,1,1,2,295.0,2,4,4,2,2,52,0
0,3,1,1,4,248.0,5,5,3,4,0,40,0
2,2,1,1,4,502.0,4,3,4,4,2,40,0
3,3,1,0,3,290.0,5,4,5,3,3,24,0
1,1,1,0,2,1009.0,2,4,1,2,2,45,0
5,5,0,0,4,895.0,4,3,3,4,5,27,1
3,2,0,0,3,200.0,2,4,3,1,2,40,1
1,1,1,1,2,970.0,2,4,5,2,1,40,0
2,2,1,0,2,751.0,2,3,2,2,2,38,1
3,2,0,0,3,1642.0,1,4,3,4,2,40,1
1,1,1,1,1,1514.0,1,2,4,1,1,28,0
4,2,0,0,5,2574.0,5,5,5,4,4,44,1
3,3,1,1,2,1023.0,5,4,1,2,3,30,0
5,5,0,0,5,1715.0,5,2,5,5,5,16,1
4,2,2,1,1,73.0,5,2,1,3,2,53,0
2,4,0,0,4,2843.0,3,4,4,1,4,37,1
3,3,1,1,5,641.0,1,2,3,5,3,18,0
1,0,0,0,5,201.0,4,3,5,5,0,57,1
4,4,0,0,5,546.0,4,5,5,3,4,40,1
2,2,1,0,1,883.0,3,5,5,1,2,19,0
2,2,1,1,2,414.0,3,2,3,2,2,68,0
2,2,1,1,5,334.0,5,2,3,5,2,46,0
5,2,0,0,4,749.0,5,4,4,3,2,47,1
4,3,0,0,4,936.0,5,4,4,4,3,52,1
5,5,0,0,5,738.0,5,5,4,5,5,30,1
4,3,1,1,5,696.0,5,3,5,5,3,42,0
5,3,0,0,5,3257.0,4,5,5,5,1,38,1
3,3,1,0,3,370.0,2,2,4,3,3,22,0
5,2,0,0,4,1431.0,4,4,4,5,2,45,1
3,3,0,0,3,2565.0,5,3,3,4,1,34,1
4,5,0,0,5,1242.0,4,5,5,3,5,40,1
2,2,0,0,2,1782.0,2,1,2,2,5,20,0
4,4,2,1,1,89.0,1,3,2,1,4,33,0
3,3,1,0,3,591.0,3,1,1,3,3,48,1
3,1,1,1,4,86.0,3,1,4,5,1,47,0
3,3,1,1,4,405.0,4,1,5,4,3,41,0
1,4,1,0,4,230.0,1,4,4,1,3,46,1
5,0,0,0,3,325.0,4,3,3,4,0,39,1
1,1,1,1,2,480.0,2,2,2,2,1,67,0
5,0,0,0,3,328.0,4,3,3,2,0,46,1
3,2,1,1,1,140.0,4,0,1,3,0,68,0
5,4,0,0,5,460.0,4,5,5,4,5,57,1
4,3,0,0,5,622.0,5,5,5,4,2,55,1
1,1,1,0,1,599.0,1,3,1,1,3,16,0
4,1,0,0,5,2402.0,5,5,5,4,1,56,1
3,5,0,0,3,134.0,3,3,3,3,5,20,1
4,4,1,1,5,1056.0,5,5,5,5,4,20,0
2,3,1,1,5,987.0,5,4,3,5,2,31,0
3,3,1,0,1,147.0,1,3,1,1,3,30,0
2,2,2,0,1,1235.0,1,1,2,1,2,35,0
1,1,1,1,5,862.0,5,2,3,5,1,28,0
5,2,1,1,5,1303.0,4,2,5,5,2,51,0
5,1,1,1,4,213.0,5,4,5,5,1,16,0
3,3,1,0,4,1014.0,4,2,4,4,3,25,0
3,3,1,0,3,302.0,3,3,2,3,3,33,0
4,5,0,0,5,2475.0,4,4,3,4,5,55,1
3,2,0,0,5,3726.5,4,5,5,2,3,65,1
4,2,1,1,3,2611.0,4,2,3,4,2,54,0
2,2,2,0,2,2329.0,4,3,3,2,5,7,0
2,2,0,0,2,366.0,2,3,4,2,3,29,0
3,3,1,1,2,888.0,2,3,4,2,3,20,0
4,4,1,0,3,632.0,1,1,3,3,4,25,0
2,2,1,1,5,1660.0,5,2,3,5,2,64,0
3,3,1,0,2,600.0,2,5,5,2,3,24,0
4,1,0,0,4,1535.0,5,4,4,3,1,49,1
3,2,1,1,4,821.0,4,2,4,4,2,62,0
4,4,1,0,1,502.0,1,3,4,1,4,17,0
3,3,0,0,4,783.0,4,3,5,4,3,44,0
5,5,0,0,4,1487.0,4,4,4,5,5,54,1
4,3,0,0,4,2634.0,4,4,4,5,3,36,1
1,1,1,0,1,675.0,4,1,3,1,4,9,0
3,3,1,1,1,89.0,3,2,1,1,3,52,0
5,3,0,0,4,668.0,4,4,4,5,1,42,1
4,4,1,1,5,2454.0,5,5,4,5,4,12,0
2,2,1,1,3,444.0,3,5,3,3,2,44,0
2,2,1,1,1,1226.0,1,3,4,1,2,8,0
4,3,1,0,3,912.0,3,3,3,4,3,58,0
4,4,2,0,4,347.0,4,5,4,4,4,40,1
5,5,0,0,4,414.0,5,4,4,3,5,48,1
4,3,0,0,4,3726.5,4,2,5,4,3,28,1
3,3,2,1,3,508.0,2,4,3,3,3,45,0
1,1,1,1,2,1733.0,2,4,4,2,1,22,0
1,1,0,0,1,606.0,1,4,3,1,1,43,0
4,4,0,0,1,1042.0,2,3,5,1,4,22,1
3,3,1,1,4,577.0,5,4,3,4,3,39,0
5,4,0,0,5,2763.0,2,4,5,3,4,53,1
3,3,1,0,3,1498.0,3,2,5,3,3,23,0
5,4,2,1,1,925.0,1,5,3,1,5,15,0
4,1,0,0,4,2848.0,4,2,4,4,1,23,1
3,3,1,0,4,589.0,4,5,2,4,3,40,0
5,4,0,0,4,2139.0,4,4,4,3,4,40,1
4,2,0,0,4,3559.0,4,4,4,3,2,49,1
4,2,1,1,1,397.0,3,2,1,2,2,55,0
3,2,0,0,2,2777.0,4,2,2,1,1,66,0
4,4,0,0,5,2240.0,5,5,5,3,4,49,1
2,2,1,1,4,1547.0,4,4,4,4,2,39,0
1,1,1,1,4,985.0,3,3,5,4,1,13,0
5,4,1,0,4,964.0,5,4,4,4,2,65,1
5,2,1,0,2,2677.0,3,2,2,3,4,42,1
1,2,1,0,3,101.0,3,1,5,3,1,37,0
3,3,1,0,3,253.0,3,1,4,3,3,32,0
4,3,0,0,4,1891.0,4,1,1,4,3,29,1
5,2,0,0,5,1617.0,5,5,5,3,2,34,1
2,2,0,0,4,602.0,4,2,3,4,2,27,0
4,2,0,0,4,892.0,4,4,4,5,5,57,1
4,4,1,0,4,770.0,4,2,2,4,1,38,1
3,3,1,1,5,200.0,3,0,5,4,0,52,0
3,2,0,0,2,419.0,3,2,2,1,2,52,0
5,5,1,0,5,293.0,5,3,3,5,1,39,1
1,1,0,0,1,557.0,1,5,3,1,5,22,0
1,1,0,0,1,3690.0,1,4,3,1,1,31,0
4,4,1,0,4,303.0,4,5,5,4,2,37,1
5,3,0,0,5,1587.0,5,4,3,5,3,28,1
5,5,0,0,5,1592.0,5,3,5,5,5,23,1
2,1,2,0,1,516.0,3,1,1,3,5,43,0
4,3,0,0,5,3518.0,5,5,5,5,3,45,1
1,1,1,0,1,1174.0,1,4,3,1,2,52,0
1,1,1,1,3,371.0,3,5,2,3,1,49,0
4,4,0,0,2,134.0,2,2,3,2,4,38,0
4,3,1,1,3,569.0,3,3,3,1,3,42,0
5,5,0,0,5,1005.0,5,1,1,5,5,26,1
5,1,0,0,4,3629.0,5,4,4,3,1,47,1
2,2,1,0,5,1050.0,5,3,1,5,2,25,0
1,1,0,1,3,419.0,3,5,1,3,1,21,0
4,4,1,1,5,370.0,5,3,1,5,4,35,0
4,2,0,0,4,1683.0,4,4,4,5,2,33,1
3,3,1,1,5,912.0,5,3,3,5,3,32,0
5,5,1,0,5,359.0,5,3,5,5,3,36,1
5,0,1,1,2,164.0,4,0,2,4,0,68,1
4,3,0,0,4,1748.0,4,4,4,3,3,55,1
1,4,0,0,1,200.0,4,1,1,1,1,19,0
5,5,0,0,5,361.0,5,3,4,5,5,26,1
2,2,1,0,1,1066.0,2,2,1,2,5,51,0
4,4,1,1,2,986.0,2,4,4,2,4,34,0
4,4,0,0,2,591.0,2,4,3,2,4,17,1
2,2,1,1,3,590.0,3,2,5,3,2,32,0
4,0,1,1,1,299.0,4,0,1,4,0,63,1
5,5,1,0,5,157.0,5,3,2,5,4,50,1
5,5,0,0,5,3179.0,4,5,5,4,5,51,1
4,3,0,0,4,1970.0,4,5,4,4,3,51,1
3,2,1,0,2,106.0,3,2,2,4,5,44,1
4,3,0,0,5,2320.0,2,5,5,4,3,36,1
3,2,1,0,2,1010.0,2,5,4,2,3,23,0
4,4,0,0,4,3496.0,4,5,3,4,5,12,1
4,4,1,0,4,1242.0,4,3,3,4,4,23,1
3,2,1,0,1,692.0,1,1,3,1,3,26,0
5,3,1,1,1,391.0,3,3,1,3,3,63,0
3,3,0,0,3,3351.0,3,3,3,3,2,14,0
2,1,0,0,3,2211.0,2,3,3,1,1,42,0
3,3,1,1,1,692.0,1,2,5,1,3,7,0
2,2,1,1,5,1158.0,5,3,2,5,2,47,0
3,3,0,0,3,337.0,3,4,5,3,3,39,0
2,2,1,1,3,1069.0,2,4,2,2,2,51,0
4,2,0,0,5,1869.0,4,5,5,3,2,39,1
4,0,0,0,5,3689.0,1,5,5,1,0,48,1
5,5,0,0,4,3458.0,4,4,4,5,5,44,1
4,5,0,0,4,3447.0,4,4,2,4,5,32,1
3,2,1,1,4,563.0,4,2,5,4,3,42,0
2,2,1,1,1,731.0,1,1,3,1,2,64,0
4,0,0,0,2,226.0,4,2,2,4,0,42,1
2,2,1,1,2,1172.0,2,4,4,2,2,7,0
4,4,1,1,5,453.0,5,2,3,5,4,38,0
3,3,1,1,2,163.0,2,4,4,2,3,10,0
4,4,1,0,4,954.0,4,4,5,4,2,27,1
3,3,1,1,3,342.0,1,5,4,3,3,10,0
5,1,0,0,4,2174.0,4,4,2,4,1,26,1
5,4,0,0,4,1426.0,5,4,4,4,4,42,1
1,1,1,1,2,2475.0,2,5,4,2,1,28,0
3,2,1,0,3,1112.0,3,5,5,3,3,25,0
2,2,1,0,3,588.0,3,2,3,3,2,23,0
3,3,0,0,4,503.0,4,2,5,4,3,45,0
4,2,0,0,2,1617.0,4,2,2,1,2,38,1
4,2,0,0,5,89.0,4,5,5,4,2,57,1
3,1,0,0,3,2153.0,5,3,3,3,1,45,1
0,2,1,1,4,120.0,4,4,2,4,0,24,0
3,2,1,1,3,368.0,3,2,3,4,2,50,0
3,1,0,0,4,671.0,5,4,4,3,1,36,1
3,3,2,1,2,679.0,2,3,5,2,3,39,0
3,3,0,0,5,1609.0,5,5,4,5,3,43,0
0,1,1,1,4,116.0,4,1,3,4,0,9,0
3,3,0,0,3,2496.0,3,3,3,3,3,31,0
3,3,0,0,3,2941.0,3,4,1,3,3,26,0
4,4,1,1,3,342.0,3,3,4,3,4,48,0
4,4,1,0,4,925.0,4,4,2,4,4,39,1
5,1,0,0,4,919.0,4,4,4,4,1,53,1
3,3,1,0,5,1091.0,5,3,2,5,3,30,0
5,1,0,0,5,3472.0,5,3,4,5,1,22,1
5,5,0,0,5,3614.0,5,1,2,5,5,23,1
5,5,2,0,5,315.0,5,1,1,5,5,30,1
5,5,0,0,4,247.0,4,4,4,4,5,50,1
5,5,1,0,5,192.0,5,5,4,5,2,38,1
4,4,0,1,1,968.0,1,4,5,1,4,7,0
4,0,0,0,5,134.0,5,5,5,3,0,52,1
4,3,0,0,4,3683.0,4,2,2,4,1,30,1
3,3,1,1,3,605.0,3,3,5,3,3,65,0
4,4,0,0,3,642.0,2,3,3,3,4,27,1
4,2,0,0,2,3724.0,4,2,2,2,5,48,0
4,3,1,0,3,547.0,4,3,3,3,4,58,0
2,2,1,0,3,1300.0,3,2,2,3,2,22,0
2,1,0,0,5,2040.0,5,5,5,2,1,48,1
2,4,2,1,3,948.0,3,4,3,4,4,52,1
2,2,1,1,5,406.0,1,5,2,5,2,61,0
5,5,1,1,5,271.0,5,2,1,5,5,17,1
1,1,1,1,1,862.0,2,5,4,1,1,15,0
2,2,1,1,2,237.0,2,3,5,2,2,62,0
4,3,0,0,5,255.0,4,5,5,3,3,60,1
4,3,0,0,4,2338.0,5,4,4,4,3,41,1
5,2,0,0,1,3119.0,5,2,1,4,4,53,1
3,3,1,0,3,197.0,1,3,1,3,3,27,0
2,2,1,0,1,438.0,1,5,5,1,2,20,0
3,3,1,1,4,2176.0,4,1,1,4,3,35,0
3,1,1,1,1,2586.0,3,2,1,3,1,40,0
4,5,0,0,1,408.0,4,2,5,1,4,25,1
3,2,1,0,2,577.0,2,5,3,2,3,24,0
2,2,1,1,2,472.0,2,4,4,2,2,26,0
1,4,0,0,5,3281.0,5,5,5,2,4,43,1
4,4,1,0,4,282.0,4,3,4,4,3,51,1
4,4,1,1,5,84.0,5,3,2,5,4,33,0
1,1,1,0,4,1036.0,3,4,2,4,1,31,0
3,3,1,1,4,927.0,4,3,3,4,3,68,0
5,1,1,1,1,356.0,4,5,1,4,5,42,0
1,1,1,0,3,689.0,3,3,1,3,1,27,0
3,3,1,0,5,197.0,5,4,4,5,3,38,0
5,4,0,0,4,2475.0,5,4,4,5,4,35,1
5,5,0,0,3,393.0,3,2,5,3,5,42,1
2,2,1,1,3,1447.0,3,4,4,3,2,24,0
5,1,0,0,2,1667.0,4,2,2,3,3,46,1
3,0,0,1,4,596.0,5,0,4,4,0,49,1
3,3,1,1,5,859.0,5,2,4,5,3,35,0
4,4,0,0,4,1975.0,4,5,4,4,4,30,1
3,3,0,0,3,2226.0,3,5,2,3,5,10,0
2,4,0,0,4,493.0,3,4,4,5,4,37,1
3,3,1,1,3,452.0,1,1,2,3,3,63,0
3,2,2,1,5,187.0,3,4,3,3,0,56,0
4,2,0,0,4,3595.0,4,2,4,4,5,25,1
5,1,0,0,5,1874.0,5,5,4,5,1,30,1
4,3,0,0,5,1561.0,4,5,5,5,3,38,1
4,4,1,0,4,1009.0,4,2,3,4,2,43,0
4,2,0,0,4,1428.0,4,4,3,4,2,33,1
1,1,1,0,3,453.0,3,1,1,3,1,24,0
2,2,0,0,2,3556.0,2,5,4,2,5,12,0
4,5,0,0,5,719.0,2,2,3,5,4,21,1
5,5,1,0,3,315.0,3,1,5,3,5,38,1
3,2,1,1,5,489.0,5,5,5,5,3,9,0
2,4,1,0,4,1121.0,1,4,4,1,4,42,1
1,1,1,0,1,2239.0,1,4,3,1,4,62,0
5,2,0,0,5,3346.0,4,5,5,3,2,46,1
5,3,1,1,5,236.0,5,3,5,4,3,49,0
5,1,0,0,4,3455.0,4,4,4,5,1,49,1
2,2,1,0,2,404.0,2,3,4,2,2,17,0
5,5,1,0,5,761.0,5,1,3,5,1,23,1
2,2,1,1,4,584.0,4,4,3,4,2,12,0
2,2,2,1,4,776.0,4,3,4,4,2,27,0
4,2,0,0,2,2998.0,4,2,2,3,2,43,1
4,3,2,1,2,372.0,5,5,2,3,5,56,0
1,1,1,0,4,357.0,1,3,4,1,1,17,0
4,4,0,0,5,946.0,4,5,5,4,4,47,1
4,2,0,0,5,2681.0,4,5,5,4,2,48,1
4,4,1,1,1,421.0,1,3,2,1,4,37,0
5,4,0,0,5,125.0,5,5,5,5,4,60,1
2,2,1,0,1,432.0,1,3,2,1,2,25,0
2,2,1,0,2,199.0,2,2,2,2,2,25,0
3,1,0,0,4,122.0,4,4,4,3,3,49,0
4,2,1,1,4,871.0,4,2,4,4,2,31,0
2,2,1,1,3,836.0,3,3,3,3,2,40,0
5,1,0,0,4,1700.0,4,5,4,5,1,50,1
4,1,0,0,5,1828.0,5,3,5,5,1,19,1
0,0,1,0,5,235.0,5,3,5,5,0,30,1
2,2,1,1,2,1916.0,2,3,4,2,2,59,0
2,2,1,1,1,164.0,1,2,3,1,2,29,0
3,3,0,0,3,361.0,1,3,2,3,3,43,0
1,1,1,0,4,683.0,2,4,2,4,0,57,0
3,3,0,0,3,607.0,3,1,2,3,2,30,0
0,0,1,1,2,362.0,3,5,3,2,0,30,1
1,1,1,0,4,402.0,4,5,2,4,1,27,0
4,4,1,1,1,109.0,1,3,4,1,4,67,0
